# 1060 طبيب

Dr. R Prasada Reddy | AIG Hospitals, Gachibowli Hyderabad | أمراض القلب | Cardiology
Dr. Apoorva Narasimha Iyengar | HCG Hospital, K R Road Bangalore | جراحة الفم والوجه والفكين | Oral & Maxillofacial Surgery
Dr. Arun Krishna A R | HCG Hospital, K R Road Bangalore | جراحة الفم والوجه والفكين | Oral & Maxillofacial Surgery
Dr. Govinda Kishor Auradkar | HCG Hospital, K R Road Bangalore | أمراض قلب الأطفال | Paediatric Cardiology
Dr. Amit Galgali | HCG Hospital, K R Road Bangalore | طب أطفال أورام | Paediatric Oncology
Dr. Mahendra Kumar Kulkarni | HCG Hospital, K R Road Bangalore | جراحة التجميل | Plastic Surgery
Dr. Kedar Ravi Hibare | HCG Hospital, K R Road Bangalore | أمراض الصدر | Pulmonology
Dr. Ajay G V | HCG Hospital, K R Road Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Anirudh V S | HCG Hospital, K R Road Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Hasib Abdul Gaffor | HCG Hospital, K R Road Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Kirthi Koushik A.S | HCG Hospital, K R Road Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Krithikaa S | HCG Hospital, K R Road Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Lohith G | HCG Hospital, K R Road Bangalore | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Anand S | HCG Hospital, K R Road Bangalore | جراحة الأورام | Surgical Oncology
Dr. Dinesh M G | HCG Hospital, K R Road Bangalore | جراحة الأورام | Surgical Oncology
Dr. Krithika Murugan | HCG Hospital, K R Road Bangalore | جراحة الأورام | Surgical Oncology
Dr. Deepak Krishnappa | HCG Hospital, K R Road Bangalore | جراحة المسالك البولية | Urology
Dr. Lingesh Sairam Chelliah | HCG Hospital, K R Road Bangalore | جراحة المسالك البولية | Urology
Dr. Mudit Tyagi | L V Prasad Eye Institute, Hyderabad | الساد والعدسات | Cataract & IOL
Dr. Jagat Ram | L V Prasad Eye Institute, Hyderabad | الساد والعدسات | Cataract & IOL Services
Dr. Swapna Kakade | L V Prasad Eye Institute, Hyderabad | عيون شاملة | Comprehensive Ophthalmology
Dr. Debananda Padhy | L V Prasad Eye Institute, Hyderabad | القرنية | Cornea
Dr. Murugesan Vanathi | L V Prasad Eye Institute, Hyderabad | القرنية | Cornea
Dr. Radhika Tandon | L V Prasad Eye Institute, Hyderabad | القرنية | Cornea
Dr. Prashant Garg | L V Prasad Eye Institute, Hyderabad | القرنية | Cornea & External Diseases
Dr. Sayan Basu | L V Prasad Eye Institute, Hyderabad | القرنية والسطح العيني | Cornea & Ocular Surface
Dr. Srinivas K. Rao | L V Prasad Eye Institute, Hyderabad | القرنية وتصحيح النظر | Cornea & Refractive Surgery
Dr. Virender S. Sangwan | L V Prasad Eye Institute, Hyderabad | القرنية والخلايا الجذعية | Cornea & Stem Cell
Dr. Somasheila I. Murthy | L V Prasad Eye Institute, Hyderabad | القرنية | Cornea Services
Dr. Bhagabat Nayak | L V Prasad Eye Institute, Hyderabad | المياه الزرقاء | Glaucoma
Dr. Sirisha Senthil | L V Prasad Eye Institute, Hyderabad | المياه الزرقاء | Glaucoma
Dr. Rohit Khanna | L V Prasad Eye Institute, Hyderabad | المياه الزرقاء | Glaucoma Services
Dr. Sudheer Kumar Shantha Kumari | L V Prasad Eye Institute, Hyderabad | أعصاب العين | Neuro Ophthalmology
Dr. Sumita Agarkar | L V Prasad Eye Institute, Hyderabad | أعصاب العين | Neuro Ophthalmology
Dr. Aparna Ramasubramanian | L V Prasad Eye Institute, Hyderabad | أورام العين | Ocular Oncology
Dr. Madan Deshpande | L V Prasad Eye Institute, Hyderabad | تجميل الجفون | Oculoplasty
Dr. Mohammad Javed Ali | L V Prasad Eye Institute, Hyderabad | تجميل الجفون والقناة الدمعية | Oculoplasty & Lacrimal
Dr. Santosh G. Honavar | L V Prasad Eye Institute, Hyderabad | تجميل الجفون وأورام العين | Oculoplasty & Oncology
Dr. Joveeta Joseph | L V Prasad Eye Institute, Hyderabad | عيون الأطفال | Paediatric Ophthalmology
Dr. Ramesh Kekunnaya | L V Prasad Eye Institute, Hyderabad | عيون الأطفال | Paediatric Ophthalmology
Dr. Taraprasad Das | L V Prasad Eye Institute, Hyderabad | الشبكية والزجاجية | Retina & Vitreous
Dr. Subhadra Jalali | L V Prasad Eye Institute, Hyderabad | اعتلال الشبكية لدى الأطفال الخدّج | Retinopathy of Prematurity
Dr. Muralidhar Ramappa | L V Prasad Eye Institute, Hyderabad | التهاب العنبية | Uveitis Services
Dr. Anthony Vipin Das | L V Prasad Eye Institute, Hyderabad | الشبكية | Vitreoretinal Services
Dr. Gowri Shankar Gopi | L V Prasad Eye Institute, Hyderabad | الشبكية | Vitreoretinal Services
Dr. Rajeev Reddy Pappuru | L V Prasad Eye Institute, Hyderabad | جراحة الشبكية | Vitreoretinal Surgery
Dr. Vivek P. Dave | L V Prasad Eye Institute, Hyderabad | جراحة الشبكية | Vitreoretinal Surgery
Dr. Aruna C Ramesh | M S Ramaiah Memorial Hospital, Bangalore | طب الطوارئ | Accident & Emergency (Emergency Medicine)
Dr. Hariprasad K V | M S Ramaiah Memorial Hospital, Bangalore | طب الطوارئ | Accident & Emergency (Emergency Medicine)
Dr. Jerry Jacob | M S Ramaiah Memorial Hospital, Bangalore | طب الطوارئ | Accident & Emergency (Emergency Medicine)
Dr. Keshava Murthy M R | M S Ramaiah Memorial Hospital, Bangalore | طب الطوارئ | Accident & Emergency (Emergency Medicine)
Dr. Shruthi Deshpande | M S Ramaiah Memorial Hospital, Bangalore | طب الطوارئ | Accident & Emergency (Emergency Medicine)
Dr. Treepti | M S Ramaiah Memorial Hospital, Bangalore | طب الطوارئ | Accident & Emergency (Emergency Medicine)
Dr. Archana S | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Ashwini Turai | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Balakrishna Shenoy | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Chandana Balram | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Geetha C R | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Guru Police Patel | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Leena H P | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Nanditha Shreedhar | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Navdeep | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Prapti Rath | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Prathima P T | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Sandya Rani | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Sharmila | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Shruthi N S | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Tejesh C A | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Yatish B | M S Ramaiah Memorial Hospital, Bangalore | تخدير | Anesthesiology
Dr. Manjunath A C | M S Ramaiah Memorial Hospital, Bangalore | تخدير وإدارة الألم | Anesthesiology & Pain Management
Dr. D. Deepa | M S Ramaiah Memorial Hospital, Bangalore | بنك الدم | Blood Bank / Transfusion Medicine
Dr. Nanda Kishore V | M S Ramaiah Memorial Hospital, Bangalore | بنك الدم | Blood Bank / Transfusion Medicine
Dr. Nandakishore Alva N | M S Ramaiah Memorial Hospital, Bangalore | بنك الدم | Blood Bank / Transfusion Medicine
Dr. Anandathirtha H. S | M S Ramaiah Memorial Hospital, Bangalore | جراحة القلب والصدر | Cardio Thoracic Surgery
Dr. Anupama V Hegde | M S Ramaiah Memorial Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Prakash V S | M S Ramaiah Memorial Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Ramkumar S | M S Ramaiah Memorial Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Ravi Narayan | M S Ramaiah Memorial Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Varsha Rakshitha P | M S Ramaiah Memorial Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Mukundan Seshadri | M S Ramaiah Memorial Hospital, Bangalore | جراحة القلب والصدر والأوعية | Cardiovascular & Thoracic Surgery (CTVS)
Dr. Bhagyalakshmi. M | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Deepak. T. S | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Faizya Taskeen | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Radha. M. G | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Ramya. D. M | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Rooparani. K | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Thejeswini | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Vikas. K. N | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. Vinay. R | M S Ramaiah Memorial Hospital, Bangalore | عناية مركزة | Critical Care Medicine
Dr. A. S. Madhura | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Amulya V. Rai | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Madhubala | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. O. P. Kharbanda | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Priyanka Rawat | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Renu Kharbanda | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Sayanthi Hazra | M S Ramaiah Memorial Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Deena Patil | M S Ramaiah Memorial Hospital, Bangalore | جلدية وتجميل | Dermatology & Cosmetology
Dr. K. N. Shivaswamy | M S Ramaiah Memorial Hospital, Bangalore | جلدية وتجميل | Dermatology & Cosmetology
Dr. Praveen Kumar S | M S Ramaiah Memorial Hospital, Bangalore | جلدية وتجميل | Dermatology & Cosmetology
Dr. Sudha Banti | M S Ramaiah Memorial Hospital, Bangalore | جلدية وتجميل | Dermatology & Cosmetology
Dr. Suparna. M. Y | M S Ramaiah Memorial Hospital, Bangalore | جلدية وتجميل | Dermatology & Cosmetology
Dr. T. K. Sumathy | M S Ramaiah Memorial Hospital, Bangalore | جلدية وتجميل | Dermatology & Cosmetology
Dr. Chandrakiran C. | M S Ramaiah Memorial Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Harshavardhan N. Reddy | M S Ramaiah Memorial Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Sanjay B Patil | M S Ramaiah Memorial Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Soujanya Balaraj | M S Ramaiah Memorial Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Sumanth K. R. | M S Ramaiah Memorial Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Surya Prakash D. R. | M S Ramaiah Memorial Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Chitra. S | M S Ramaiah Memorial Hospital, Bangalore | الغدد الصماء | Endocrinology
Dr. Ganavi. Y. P | M S Ramaiah Memorial Hospital, Bangalore | الغدد الصماء | Endocrinology
Dr. K. M. Suryanarayana | M S Ramaiah Memorial Hospital, Bangalore | الغدد الصماء | Endocrinology
Dr. Manjunath P R | M S Ramaiah Memorial Hospital, Bangalore | الغدد الصماء | Endocrinology
Dr. Pramila Kalra | M S Ramaiah Memorial Hospital, Bangalore | الغدد الصماء | Endocrinology
Dr. Akshay Rao | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Anil Kumar T | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Ashwin Kulkarni | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Divya Prabhu | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Megha Reddy | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Mohammed Suhail K | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Nagesh Kumar | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Shaikh Mohammed Aslam S | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Srikanth | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Tharanath Shankar | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr. Vijayashree Thyagaraj | M S Ramaiah Memorial Hospital, Bangalore | طب عام | General Medicine
Dr Nandakumar B M | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Bharati V Hiremath | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Kalaivani V | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Madan K | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Narayana Swamy Chetty | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Navyashree C | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Sagar Z | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Shaik Mohammad Safiuddin | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Shashank G | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Sreekar Pai A | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Sreevathsa M R | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Srikantaiah H C | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Sudharshan S. Murthy | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Suhas Devanathan | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Syed Faizan | M S Ramaiah Memorial Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Avinash B | M S Ramaiah Memorial Hospital, Bangalore | أمراض الجهاز الهضمي | Medical Gastroenterology
Dr. Harshavardhan Rao B | M S Ramaiah Memorial Hospital, Bangalore | أمراض الجهاز الهضمي | Medical Gastroenterology
Dr. Nishil Gowda | M S Ramaiah Memorial Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Rasmi Palassery | M S Ramaiah Memorial Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Santhosh Devadas | M S Ramaiah Memorial Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Vinayak Maka | M S Ramaiah Memorial Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Krithika | M S Ramaiah Memorial Hospital, Bangalore | حديثي الولادة | Neonatology
Dr. Pradeep G C M | M S Ramaiah Memorial Hospital, Bangalore | حديثي الولادة | Neonatology
Dr. Sharanabasavesh. M | M S Ramaiah Memorial Hospital, Bangalore | حديثي الولادة | Neonatology
Dr. Gireesh M. S. | M S Ramaiah Memorial Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Mahesh E | M S Ramaiah Memorial Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Mohammad Yousuff | M S Ramaiah Memorial Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Pooja Prakash Prabhu | M S Ramaiah Memorial Hospital, Bangalore | أمراض الكلى | Nephrology
Dr.Rajashekar MD, DM | M S Ramaiah Memorial Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Geetha. L | M S Ramaiah Memorial Hospital, Bangalore | تخدير أعصاب وعناية عصبية | Neuroanesthesia & Neurocritical Care
Dr. Madhusudhana Rao | M S Ramaiah Memorial Hospital, Bangalore | تخدير أعصاب وعناية عصبية | Neuroanesthesia & Neurocritical Care
Dr. Seham Syeda | M S Ramaiah Memorial Hospital, Bangalore | تخدير أعصاب وعناية عصبية | Neuroanesthesia & Neurocritical Care
Dr. Anish Mehta | M S Ramaiah Memorial Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Divya Nagabushana | M S Ramaiah Memorial Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Kumara Swamy | M S Ramaiah Memorial Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Mahendra. J. V | M S Ramaiah Memorial Hospital, Bangalore | طب الأعصاب | Neurology
Dr. P. T. Acharya | M S Ramaiah Memorial Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Pradeep R | M S Ramaiah Memorial Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Nishchit Hegde | M S Ramaiah Memorial Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Parichay J Perikal | M S Ramaiah Memorial Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Rakshith Srinivasa | M S Ramaiah Memorial Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Shabari Girishan K. V. | M S Ramaiah Memorial Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Sunil Valentine Furtado | M S Ramaiah Memorial Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr.(Prof) A. S. Hegde | M S Ramaiah Memorial Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Asha Swaroop | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Gayatri Devi | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Jyothi G. S | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. K. Padma | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Mamatha | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Manjula. N. V. | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Nandini. G. | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Nivedita Reshme | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Seema Mehrotra | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Sujani. B. K | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Sundari N | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Umadevi. K | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Urvashi | M S Ramaiah Memorial Hospital, Bangalore | نساء وولادة | Obstetrics & Gynecology
Dr. Ananth Bhandary S. | M S Ramaiah Memorial Hospital, Bangalore | طب العيون | Ophthalmology
Dr. Divya D Sundaresh | M S Ramaiah Memorial Hospital, Bangalore | طب العيون | Ophthalmology
Dr. Ksheeraja. Y | M S Ramaiah Memorial Hospital, Bangalore | طب العيون | Ophthalmology
Dr. Soumya Ramani | M S Ramaiah Memorial Hospital, Bangalore | طب العيون | Ophthalmology
Dr. Thanuja G P | M S Ramaiah Memorial Hospital, Bangalore | طب العيون | Ophthalmology
Dr Ponnanna K M | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Ajoy S M | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Ashok Kumar P | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Harshad. M. Shah | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Karthik Badarayan V | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Rahul P | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Ravikumar T V | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Sandeep Reddy R | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Sathish Shervegar | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Yashwanth Kumar. C | M S Ramaiah Memorial Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Bopanna K | Manipal Hospital, Old Airport Road | جراحة المخ والأعصاب | Adult Neurosurgery
Dr. G. Moinoddin | Manipal Hospital, Old Airport Road | جراحة السمنة والأيض | Bariatric & Metabolic Surgery
Dr. Devananda N | Manipal Hospital, Old Airport Road | جراحة القلب والصدر والأوعية | Cardiothoracic & Vascular Surgery
Dr. Devananda N S | Manipal Hospital, Old Airport Road | جراحة القلب والصدر والأوعية وزراعة القلب والرئة | Cardiothoracic Vascular & Heart-Lung Transplant Surgery
Dr. (Prof) Sampath Chandra Prasad Rao | Manipal Hospital, Old Airport Road | جراحة الرأس والعنق وقاعدة الجمجمة | ENT, Head & Neck Surgery, Skull Base Surgery, Cochlear Implantology
Dr. Darshan Kirshnappa | Manipal Hospital, Old Airport Road | كهرباء القلب | Electrophysiology
Dr. Hemanth Kumar | Manipal Hospital, Old Airport Road | جراحة عامة و سمنة | General & Bariatric Surgery
Dr. Mohit Shetti | Manipal Hospital, Old Airport Road | طب عام | General Medicine
Dr. Sampath Kumar | Manipal Hospital, Old Airport Road | طب عام | General Medicine
Dr. Sumit Talwar | Manipal Hospital, Old Airport Road | طب عام | General Medicine
Dr. Bharath Kadadi | Manipal Hospital, Old Airport Road | جراحة اليد | Hand Surgery
Dr. Satish Nair | Manipal Hospital, Old Airport Road | جراحة أورام الرأس والعنق | Head & Neck Oncology Surgery
Dr. Amit | Manipal Hospital, Old Airport Road | أورام دموية | Hematologic Oncology
Dr. Ashish | Manipal Hospital, Old Airport Road | زرع نخاع العظم | Hematology & Bone Marrow Transplantation
Dr. Mallikarjun | Manipal Hospital, Old Airport Road | زرع نخاع العظم | Hematology & Bone Marrow Transplantation
Dr. Raj Vigna | Manipal Hospital, Old Airport Road | أمراض الكبد والجهاز الهضمي | Hepato-Gastroenterology
Dr. Sridhar G | Manipal Hospital, Old Airport Road | أمراض القلب التداخلية | Interventional Cardiology
Dr. Amit Rauthan | Manipal Hospital, Old Airport Road | أورام طبية | Medical Oncology, Immunotherapy & Precision Medicine
Dr. Bhavana M V | Manipal Hospital, Old Airport Road | علم الميكروبات | Microbiology & Laboratory Medicine
Dr. Ajit Kumar | Manipal Hospital, Old Airport Road | طب الأعصاب | Neurology
Dr. Pramod Krishnan | Manipal Hospital, Old Airport Road | طب الأعصاب والصرع | Neurology & Epilepsy
Dr. Bopanna K M | Manipal Hospital, Old Airport Road | جراحة المخ والأعصاب | Neurosurgery
Dr. Praveen M | Manipal Hospital, Old Airport Road | جراحة المخ والأعصاب | Neurosurgery
Dr. Sunil G | Manipal Hospital, Old Airport Road | جراحة العظام والمفاصل | Orthopedic & Joint Surgery
Dr. Srimanth B | Manipal Hospital, Old Airport Road | جراحة عظام أورام | Orthopedic Oncology
Dr. Kavya Mallikarjun | Manipal Hospital, Old Airport Road | أمراض قلب الأطفال | Pediatric Cardiology
Dr. A Sivagnanam | Manipal Hospital, Old Airport Road | طب الأطفال | Pediatric Emergency
Dr. Dheeraj A | Manipal Hospital, Old Airport Road | الطب الفيزيائي وإعادة التأهيل | Physical Medicine & Rehabilitation
Dr. Vadhiraja | Manipal Hospital, Old Airport Road | علاج الأورام بالإشعاع | Radiation Oncology
Dr. Abhishek Patil | Manipal Hospital, Old Airport Road | أمراض المناعة السريرية والروماتيزم | Rheumatology & Clinical Immunology
Dr. Shabber Zaveri | Manipal Hospital, Old Airport Road | جراحة الأورام | Surgical Oncology
Dr. Deepak Dubey | Manipal Hospital, Old Airport Road | زراعة الكلى والمسالك | Uro-Oncology, Robotic Surgery & Renal Transplantation
Deepak | Manipal Hospital, Old Airport Road | جراحة المسالك البولية | Urology
Dr. Azeez Pasha | Manipal Hospital, Old Airport Road | جراحة الأوعية الدموية | Vascular Surgery
Dr. Venkatesh Reddy | Manipal Hospital, Old Airport Road | جراحة الأوعية الدموية | Vascular Surgery
Dr. Pramod Krishnappa | NU Hospitals, Rajajinagar Bangalore | جراحة المسالك وأمراض الذكورة | Andrology & Urology
Dr. Jyoti Sridhar | NU Hospitals, Rajajinagar Bangalore | العناية المركزة والتخدير | Critical Care & Anaesthesia
Dr. Sridhar Pandit | NU Hospitals, Rajajinagar Bangalore | جراحة عامة ومناظير | General & Laparoscopic Surgery
Dr. Shakuntala V Modi | NU Hospitals, Rajajinagar Bangalore | أمراض الكلى | Nephrology
Dr. Aashish S | NU Hospitals, Rajajinagar Bangalore | زراعة الكلى وزراعة الأعضاء | Nephrology & Transplant Physician
Dr. Padmanabhan S | NU Hospitals, Rajajinagar Bangalore | أمراض الكلى | Nephrology & Transplant Physician
Dr. Ashvini Koti | NU Hospitals, Rajajinagar Bangalore | علم الأمراض | Pathology (Sr. Pathologist & Lab Director)
Dr. Nitin Nayak | NU Hospitals, Rajajinagar Bangalore | أمراض كلى الأطفال | Pediatric Nephrology
Dr. Prasanna Venkatesh M K | NU Hospitals, Rajajinagar Bangalore | زراعة الكلى | Pediatric Urology, Robotic & Renal Transplant Surgery
Dr. Keval P Jain | NU Hospitals, Rajajinagar Bangalore | الأشعة التشخيصية | Radiodiagnosis
Dr. Swathi Matippa | NU Hospitals, Rajajinagar Bangalore | الأشعة التشخيصية | Radiodiagnosis
Dr. Krishna Prasad T | NU Hospitals, Rajajinagar Bangalore | زراعة الكلى | Uro-Oncology, Robotic & Renal Transplant Surgery
Dr. Nagarjuna Reddy Danduri | NU Hospitals, Rajajinagar Bangalore | جراحة المسالك البولية | Urology
Dr. Srinivas M. | Narayana Hospital, Bommasandra Bangalore | التخدير | Anaesthesia
Dr. Devi Shetty | Narayana Hospital, Bommasandra Bangalore | جراحة القلب | Cardiac Surgery
Dr. Sandeep Attawar | Narayana Hospital, Bommasandra Bangalore | جراحة القلب | Cardiac Transplant Surgery
Dr. Manjunath C. N. | Narayana Hospital, Bommasandra Bangalore | أمراض القلب | Cardiology
Dr. Anil Bhan | Narayana Hospital, Bommasandra Bangalore | جراحة القلب | Cardiothoracic Surgery
Dr. Sathyaki Nambala | Narayana Hospital, Bommasandra Bangalore | جراحة القلب | Cardiothoracic Surgery
Dr. Pratap Reddy | Narayana Hospital, Bommasandra Bangalore | العناية المركزة | Critical Care
Dr. Smitha Shetty | Narayana Hospital, Bommasandra Bangalore | الأمراض الجلدية | Dermatology
Dr. Ashok Pillai | Narayana Hospital, Bommasandra Bangalore | الأنف والأذن والحنجرة | ENT
Dr. H. S. Sreevathsa | Narayana Hospital, Bommasandra Bangalore | الغدد الصماء | Endocrinology
Dr. Malini Saba | Narayana Hospital, Bommasandra Bangalore | طب الأسرة | Family Medicine
Dr. Suresh Ramaswamy | Narayana Hospital, Bommasandra Bangalore | الجهاز الهضمي | Gastroenterology
